track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_month,release_year,bin_year,track_pop_shift,y,log_speechiness,acoustic_shift,logit_acousticness,sqrt_liveness
66,pop,dance pop,0.748,0.916,F♯/G♭,-2.634,major,0.0583,0.102,0.0,0.0653,0.518,122.036,194754,6,2019,recent,66.0,0.6632942174102643,-2.6838455124053926,0.102,-2.1751972550179284,0.27440845468024483
67,pop,dance pop,0.726,0.815,B,-4.969,major,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600,12,2019,recent,67.0,0.708185057924486,-3.0512449834842497,0.0724,-2.550394305989706,0.6058052492344383
70,pop,dance pop,0.675,0.931,C♯/D♭,-3.432,minor,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616,7,2019,recent,70.0,0.8472978603872034,-2.474560357733856,0.0794,-2.450527263130051,0.34641016151377546
60,pop,dance pop,0.718,0.93,G,-3.778,major,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093,7,2019,recent,60.0,0.4054651081081642,-2.1892564076870427,0.0287,-3.5217382576427094,0.4626013402488151
69,pop,dance pop,0.65,0.833,C♯/D♭,-4.672,major,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052,3,2019,recent,69.0,0.8001193001121129,-3.0812901619156374,0.0803,-2.438277908955936,0.3054504869860253
67,pop,dance pop,0.675,0.919,G♯/A♭,-5.385,major,0.127,0.0799,0.0,0.143,0.585,124.982,163049,7,2019,recent,67.0,0.708185057924486,-1.987774353154012,0.0799,-2.4437065070160866,0.39115214431215894
62,pop,dance pop,0.449,0.856,F,-4.788,minor,0.0623,0.187,0.0,0.176,0.152,112.648,187675,7,2019,recent,62.0,0.4895482253187058,-2.626931149817418,0.187,-1.469622492693224,0.4312771730569565
69,pop,dance pop,0.542,0.903,E,-2.419,minor,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619,8,2019,recent,69.0,0.8001193001121129,-2.9299445330159877,0.0335,-3.3621358598173647,0.3478505426185217
68,pop,dance pop,0.594,0.935,G♯/A♭,-3.562,major,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187,6,2019,recent,68.0,0.7537718023763803,-2.7105533313203285,0.0249,-3.6676722263704113,0.8043631020876082
67,pop,dance pop,0.642,0.818,D,-4.552,major,0.032,0.0567,0.0,0.0919,0.59,124.957,253040,6,2019,recent,67.0,0.708185057924486,-3.170085660698769,0.0567,-2.8116101549221013,0.31921779399024736
58,pop,dance pop,0.679,0.923,F♯/G♭,-6.5,major,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894,6,2019,recent,58.0,0.32277339226305085,-1.6554818509355071,0.146,-1.7663245720802334,0.36606010435446257
67,pop,dance pop,0.437,0.774,G♯/A♭,-4.918,major,0.0554,0.148,0.0,0.133,0.329,123.125,203733,8,2019,recent,67.0,0.708185057924486,-2.727233020518984,0.148,-1.7503742530652007,0.3781534080237808
